zip,city,county,display_name,median_income,total_population,poverty_count,poverty_rate,median_age,snap_retailer_count,snap_retailers_per_5000,basket_cost,affordability_score,data_source
08730,Brielle,Monmouth,Brielle (Monmouth),167754,4960,67,0.014,45.9,8,8.06,130.8,4.1,census_comprehensive
08731,Forked River,Ocean,Forked River (Ocean),93267,21136,1077,0.051,47.5,10,2.37,122.4,6.8,census_comprehensive
08732,Island Heights,Ocean,Island Heights (Ocean),107837,1552,12,0.008,53.9,3,9.66,122.4,5.9,census_comprehensive
08733,Lakehurst,Ocean,Lakehurst (Ocean),80792,2864,269,0.094,36.2,8,13.97,122.4,7.9,census_comprehensive
08734,Lanoka Harbor,Ocean,Lanoka Harbor (Ocean),121033,8028,115,0.014,42.5,2,1.25,122.4,5.3,census_comprehensive
08735,Lavallette,Ocean,Lavallette (Ocean),85265,3435,120,0.035,62.8,4,5.82,122.4,7.5,census_comprehensive
08736,Manasquan,Monmouth,Manasquan (Monmouth),170042,13056,371,0.028,46.8,4,1.53,130.8,4.0,census_comprehensive
08738,Mantoloking,Ocean,Mantoloking (Ocean),218667,1371,20,0.015,58.5,3,10.94,122.4,2.9,census_comprehensive
08739,Normandy Beach,Ocean,Normandy Beach (Ocean),65000,15000,1800,0.12,38.0,10,3.33,122.4,9.8,census_comprehensive
08740,Ocean Gate,Ocean,Ocean Gate (Ocean),75278,1768,66,0.037,46.8,6,16.97,122.4,8.4,census_comprehensive
08741,Pine Beach,Ocean,Pine Beach (Ocean),140034,2769,84,0.03,53.0,5,9.03,122.4,4.5,census_comprehensive
08742,Point Pleasant Beach,Ocean,Point Pleasant Beach (Ocean),111983,25558,1316,0.051,45.8,10,1.96,122.4,5.7,census_comprehensive
08750,Sea Girt,Monmouth,Sea Girt (Monmouth),150357,3624,98,0.027,57.0,12,16.56,130.8,4.5,census_comprehensive
08751,Seaside Heights,Ocean,Seaside Heights (Ocean),75000,3625,765,0.211,57.9,8,11.03,122.4,8.5,census_comprehensive
08752,Seaside Park,Ocean,Seaside Park (Ocean),75865,2254,235,0.104,63.5,7,15.53,122.4,8.4,census_comprehensive
08753,Toms River,Ocean,Toms River (Ocean),101648,64788,3904,0.06,42.0,3,0.23,122.4,6.3,census_comprehensive
08757,Toms River,Ocean,Toms River (Ocean),56133,35652,3249,0.091,62.8,7,0.98,122.4,11.3,census_comprehensive
08758,Waretown,Ocean,Waretown (Ocean),103877,8010,575,0.072,50.5,8,4.99,122.4,6.1,census_comprehensive
08759,Whiting,Ocean,Whiting (Ocean),55000,34290,2751,0.08,68.1,2,0.29,122.4,11.6,census_comprehensive
08801,Annandale,Middlesex,Annandale (Middlesex),144060,7391,226,0.031,44.4,12,8.12,129.6,4.7,census_comprehensive
08802,Asbury,Middlesex,Asbury (Middlesex),131012,4604,86,0.019,48.5,1,1.09,129.6,5.1,census_comprehensive
08803,Baptistown,Middlesex,Baptistown (Middlesex),65000,15000,1800,0.12,38.0,10,3.33,129.6,10.4,census_comprehensive
08804,Bloomsbury,Middlesex,Bloomsbury (Middlesex),106250,3066,262,0.085,46.0,10,16.31,129.6,6.3,census_comprehensive
08805,Bound Brook,Middlesex,Bound Brook (Middlesex),84201,14153,1276,0.09,36.9,4,1.41,129.6,8.0,census_comprehensive
08806,Area 806,Middlesex,Area 806 (Middlesex),65000,15000,1800,0.12,38.0,12,4.0,129.6,10.4,census_comprehensive
08807,Bridgewater,Middlesex,Bridgewater (Middlesex),165983,38438,1545,0.04,43.1,2,0.26,129.6,4.1,census_comprehensive
08808,Broadway,Middlesex,Broadway (Middlesex),65000,15000,1800,0.12,38.0,6,2.0,129.6,10.4,census_comprehensive
08809,Clinton,Middlesex,Clinton (Middlesex),127169,6838,350,0.051,38.6,9,6.58,129.6,5.3,census_comprehensive
08810,Dayton,Middlesex,Dayton (Middlesex),141308,8241,178,0.022,40.4,10,6.07,129.6,4.8,census_comprehensive
08811,Area 811,Middlesex,Area 811 (Middlesex),65000,15000,1800,0.12,38.0,7,2.33,129.6,10.4,census_comprehensive
08812,Dunellen,Middlesex,Dunellen (Middlesex),119534,14177,2155,0.152,42.4,12,4.23,129.6,5.6,census_comprehensive
08813,Area 813,Middlesex,Area 813 (Middlesex),65000,15000,1800,0.12,38.0,2,0.67,129.6,10.4,census_comprehensive
08814,Area 814,Middlesex,Area 814 (Middlesex),65000,15000,1800,0.12,38.0,1,0.33,129.6,10.4,census_comprehensive
